,-unknown-,<05,<1,<2,<5,>=5,FR,GB,IE,Market_capitalization,US,Total
2024-08-02,1.27,0,0,1,0,1,0.16,0.82,0.0,18431910000.0,0.26,2.51
2024-08-01,1.25,0,0,1,0,1,0.16,0.84,0.0,18431910000.0,0.26,2.51
2024-07-31,1.37,0,0,1,0,1,0.16,0.85,0.0,18431910000.0,0.27,2.65
2024-07-30,1.38,0,0,1,0,1,0.16,0.77,0.0,18431910000.0,0.27,2.5799999999999996
2024-07-29,1.42,0,0,1,0,1,0.16,0.77,0.0,18431910000.0,0.27,2.6199999999999997
2024-07-28,1.4,0,0,1,0,1,0.16,0.75,0.0,18431910000.0,0.27,2.5799999999999996
2024-07-27,1.4,0,0,1,0,1,0.16,0.75,0.0,18431910000.0,0.27,2.5799999999999996
2024-07-26,1.4,0,0,1,0,1,0.16,0.75,0.0,18431910000.0,0.27,2.5799999999999996
2024-07-25,1.43,0,0,1,0,1,0.16,0.74,0.0,18431910000.0,0.27,2.6
2024-07-24,1.36,0,0,1,0,1,0.16,0.75,0.0,18431910000.0,0.25,2.52
2024-07-23,1.15,0,0,1,0,1,0.16,0.65,0.0,18431910000.0,0.25,2.21
2024-07-22,1.1,0,0,1,0,1,0.08,0.64,0.0,18431910000.0,0.25,2.0700000000000003
2024-07-21,1.16,0,0,1,0,1,0.08,0.63,0.0,18431910000.0,0.26,2.13
2024-07-20,1.16,0,0,1,0,1,0.08,0.63,0.0,18431910000.0,0.26,2.13
2024-07-19,1.16,0,0,1,0,1,0.08,0.63,0.0,18431910000.0,0.26,2.13
2024-07-18,1.11,0,0,1,0,1,0.08,0.63,0.0,18431910000.0,0.25,2.0700000000000003
2024-07-17,1.15,0,0,1,0,1,0.08,0.55,0.0,18431910000.0,0.26,2.04
2024-07-16,1.18,0,0,1,0,1,0.08,0.56,0.0,18431910000.0,0.27,2.09
2024-07-15,0.84,0,0,1,0,1,0.08,0.46,0.0,18431910000.0,0.18,1.5599999999999998
2024-07-14,0.68,0,0,1,0,1,0.08,0.45,0.0,18431910000.0,0.18,1.39
2024-07-13,0.68,0,0,1,0,1,0.08,0.45,0.0,18431910000.0,0.18,1.39
2024-07-12,0.68,0,0,1,0,1,0.06,0.45,0.0,18431910000.0,0.18,1.3699999999999999
2024-07-11,0.84,0,0,1,0,1,0.06,0.46,0.0,18431910000.0,0.19,1.5499999999999998
2024-07-10,0.94,0,0,1,0,1,0.06,0.48,0.0,18431910000.0,0.19,1.67
2024-07-09,0.87,0,0,1,0,1,0.06,0.47,0.0,18431910000.0,0.19,1.5899999999999999
2024-07-08,0.82,0,0,1,0,1,0.06,0.45,0.0,18431910000.0,0.19,1.5199999999999998
2024-07-07,0.79,0,0,1,0,1,0.06,0.45,0.0,18431910000.0,0.19,1.49
2024-07-06,0.79,0,0,0,1,1,0.06,0.45,0.0,18431910000.0,0.22,1.52
2024-07-05,0.79,0,0,0,1,1,0.06,0.45,0.0,18431910000.0,0.22,1.52
2024-07-04,0.74,0,0,0,1,1,0.08,0.45,0.0,18431910000.0,0.22,1.49
2024-07-03,0.65,0,0,0,1,1,0.08,0.45,0.0,18431910000.0,0.22,1.4
2024-07-02,0.67,0,0,0,1,1,0.08,0.45,0.0,18431910000.0,0.22,1.42
2024-07-01,0.69,0,0,0,1,1,0.08,0.42,0.0,18431910000.0,0.22,1.41
2024-06-30,0.7,0,0,0,1,1,0.08,0.42,0.0,18471910000.0,0.22,1.42
2024-06-29,0.7,0,0,0,1,1,0.08,0.42,0.0,18471910000.0,0.22,1.42
2024-06-28,0.7,0,0,0,1,1,0.08,0.42,0.0,18471910000.0,0.22,1.42
2024-06-27,0.68,0,0,0,1,1,0.08,0.42,0.0,18471910000.0,0.22,1.4
2024-06-26,0.6,0,0,0,1,1,0.08,0.42,0.0,18471910000.0,0.22,1.3199999999999998
2024-06-25,0.53,0,0,0,1,1,0.08,0.4,0.0,18471910000.0,0.22,1.23
2024-06-24,0.5,0,0,0,1,1,0.08,0.4,0.0,18471910000.0,0.22,1.2
2024-06-23,0.57,0,0,0,1,1,0.08,0.42,0.0,18471910000.0,0.22,1.2899999999999998
2024-06-22,0.57,0,0,0,1,1,0.08,0.42,0.0,18471910000.0,0.22,1.2899999999999998
2024-06-21,0.57,0,0,0,1,1,0.08,0.36,0.0,18471910000.0,0.22,1.2299999999999998
2024-06-20,0.48,0,0,0,1,1,0.08,0.35,0.0,18471910000.0,0.22,1.13
2024-06-19,0.52,0,0,0,1,1,0.08,0.35,0.0,18471910000.0,0.22,1.17
2024-06-18,0.48,0,0,0,1,1,0.0,0.35,0.0,18471910000.0,0.22,1.05
2024-06-17,0.52,0,0,0,1,1,0.0,0.35,0.0,18471910000.0,0.22,1.09
2024-06-16,0.61,0,0,0,1,1,0.0,0.35,0.0,18471910000.0,0.22,1.18
2024-06-15,0.61,0,0,0,1,1,0.0,0.35,0.0,18471910000.0,0.22,1.18
2024-06-14,0.61,0,0,0,1,1,0.0,0.35,0.0,18471910000.0,0.22,1.18
2024-06-13,0.48,0,0,0,1,1,0.0,0.35,0.0,18471910000.0,0.22,1.05
2024-06-12,0.31,0,0,0,2,0,0.0,0.35,0.0,18471910000.0,0.21,0.8699999999999999
2024-06-11,0.37,0,0,0,1,1,0.0,0.34,0.0,18471910000.0,0.21,0.9199999999999999
2024-06-10,0.22,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.21,0.75
2024-06-09,0.22,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.21,0.75
2024-06-08,0.22,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.21,0.75
2024-06-07,0.22,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.21,0.75
2024-06-06,0.22,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.21,0.75
2024-06-05,0.24,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.21,0.77
2024-06-04,0.2,0,0,1,1,0,0.0,0.29,0.0,18471910000.0,0.2,0.69
2024-06-03,0.13,0,0,1,1,0,0.0,0.3,0.0,18471910000.0,0.2,0.63
2024-06-02,0.1,0,0,1,1,0,0.0,0.3,0.0,18471910000.0,0.19,0.5900000000000001
2024-06-01,0.1,0,0,1,1,0,0.0,0.3,0.0,18471910000.0,0.19,0.5900000000000001
2024-05-31,0.1,0,0,1,1,0,0.0,0.3,0.0,18471910000.0,0.19,0.5900000000000001
2024-05-30,0.15,0,0,1,1,0,0.0,0.28,0.0,18471910000.0,0.19,0.6200000000000001
2024-05-29,0.26,0,0,1,1,0,0.0,0.28,0.0,18471910000.0,0.19,0.73
2024-05-28,0.0,0,0,1,1,0,0.0,0.26,0.0,18471910000.0,0.19,0.45
2024-05-27,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.19,0.47000000000000003
2024-05-26,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.21,0.49
2024-05-25,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.21,0.49
2024-05-24,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.21,0.49
2024-05-23,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.2,0.48000000000000004
2024-05-22,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.19,0.47000000000000003
2024-05-21,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.16,0.44000000000000006
2024-05-20,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.16,0.44000000000000006
2024-05-19,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.16,0.44000000000000006
2024-05-18,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.16,0.44000000000000006
2024-05-17,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.16,0.44000000000000006
2024-05-16,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.16,0.44000000000000006
2024-05-15,0.0,0,0,0,2,0,0.0,0.28,0.0,18471910000.0,0.18,0.46
2024-05-14,0.0,0,0,0,2,0,0.0,0.31,0.0,18471910000.0,0.18,0.49
2024-05-13,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.2,0.53
2024-05-12,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.21,0.54
2024-05-11,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.21,0.54
2024-05-10,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.21,0.54
2024-05-09,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.21,0.54
2024-05-08,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.22,0.55
2024-05-07,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.22,0.55
2024-05-06,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.22,0.55
2024-05-05,0.0,0,0,0,2,0,0.0,0.34,0.0,18471910000.0,0.22,0.56
2024-05-04,0.0,0,0,0,2,0,0.0,0.34,0.0,18471910000.0,0.22,0.56
2024-05-03,0.0,0,0,0,2,0,0.0,0.34,0.0,18471910000.0,0.22,0.56
2024-05-02,0.0,0,0,0,2,0,0.0,0.34,0.0,18471910000.0,0.22,0.56
2024-05-01,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.19,0.52
2024-04-30,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.19,0.52
2024-04-29,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.19,0.52
2024-04-28,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.19,0.52
2024-04-27,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.19,0.52
2024-04-26,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.19,0.52
2024-04-25,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.19,0.52
2024-04-24,0.0,0,0,0,2,0,0.0,0.33,0.0,18471910000.0,0.19,0.52
2024-04-23,0.0,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.2,0.52
2024-04-22,0.0,0,0,0,2,0,0.0,0.31,0.0,18471910000.0,0.12,0.43
2024-04-21,0.0,0,0,0,2,0,0.0,0.31,0.0,18471910000.0,0.12,0.43
2024-04-20,0.0,0,0,0,2,0,0.0,0.31,0.0,18471910000.0,0.12,0.43
2024-04-19,0.0,0,0,0,2,0,0.0,0.31,0.0,18471910000.0,0.12,0.43
2024-04-18,0.0,0,0,0,2,0,0.0,0.31,0.0,18471910000.0,0.12,0.43
2024-04-17,0.0,0,0,0,2,0,0.0,0.31,0.0,18471910000.0,0.13,0.44
2024-04-16,0.0,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.13,0.45
2024-04-15,0.0,0,0,0,2,0,0.0,0.31,0.0,18471910000.0,0.11,0.42
2024-04-14,0.0,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.11,0.43
2024-04-13,0.0,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.11,0.43
2024-04-12,0.0,0,0,0,2,0,0.0,0.32,0.0,18471910000.0,0.11,0.43
2024-04-11,0.0,0,0,0,2,0,0.0,0.31,0.0,18471910000.0,0.11,0.42
2024-04-10,0.0,0,0,0,2,0,0.0,0.3,0.0,18471910000.0,0.11,0.41
2024-04-09,0.0,0,0,1,1,0,0.0,0.28,0.0,18471910000.0,0.11,0.39
2024-04-08,0.0,0,0,1,1,0,0.0,0.28,0.0,18471910000.0,0.11,0.39
2024-04-07,0.0,0,0,1,1,0,0.0,0.28,0.0,18471910000.0,0.13,0.41000000000000003
2024-04-06,0.0,0,0,1,1,0,0.0,0.28,0.0,18471910000.0,0.13,0.41000000000000003
2024-04-05,0.0,0,0,1,1,0,0.0,0.28,0.0,18471910000.0,0.13,0.41000000000000003
2024-04-04,0.0,0,0,1,1,0,0.0,0.28,0.0,18471910000.0,0.11,0.39
2024-04-03,0.0,0,0,1,1,0,0.0,0.34,0.0,18471910000.0,0.11,0.45
2024-04-02,0.0,0,0,2,0,0,0.0,0.34,0.0,18471910000.0,0.03,0.37
2024-04-01,0.0,0,0,2,0,0,0.0,0.34,0.0,18471910000.0,0.03,0.37
2024-03-31,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-30,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-29,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-28,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-27,0.0,0,0,2,0,0,0.0,0.42,0.0,19361910000.0,0.03,0.44999999999999996
2024-03-26,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-25,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-24,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-23,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-22,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-21,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-20,0.0,0,0,2,0,0,0.0,0.41,0.0,19361910000.0,0.03,0.43999999999999995
2024-03-19,0.0,0,0,2,0,0,0.0,0.38,0.0,19361910000.0,0.03,0.41000000000000003
2024-03-18,0.0,0,0,2,0,0,0.0,0.4,0.0,19361910000.0,0.03,0.43000000000000005
2024-03-17,0.0,0,0,2,0,0,0.0,0.4,0.0,19361910000.0,0.03,0.43000000000000005
2024-03-16,0.0,0,0,2,0,0,0.0,0.4,0.0,19361910000.0,0.03,0.43000000000000005
2024-03-15,0.0,0,0,2,0,0,0.0,0.4,0.0,19361910000.0,0.03,0.43000000000000005
2024-03-14,0.0,0,0,2,0,0,0.0,0.4,0.0,19361910000.0,0.03,0.43000000000000005
2024-03-13,0.0,0,0,2,0,0,0.0,0.38,0.0,19361910000.0,0.03,0.41000000000000003
2024-03-12,0.0,0,0,2,0,0,0.0,0.38,0.0,19361910000.0,0.03,0.41000000000000003
2024-03-11,0.0,0,0,2,0,0,0.0,0.38,0.0,19361910000.0,0.03,0.41000000000000003
2024-03-10,0.0,0,0,2,0,0,0.0,0.38,0.0,19361910000.0,0.03,0.41000000000000003
2024-03-09,0.0,0,0,2,0,0,0.0,0.38,0.0,19361910000.0,0.03,0.41000000000000003
2024-03-08,0.0,0,0,2,0,0,0.0,0.38,0.0,19361910000.0,0.03,0.41000000000000003
2024-03-07,0.0,0,0,2,0,0,0.0,0.28,0.0,19361910000.0,0.03,0.31000000000000005
2024-03-06,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.03,0.19
2024-03-05,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.03,0.19
2024-03-04,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.03,0.19
2024-03-03,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.03,0.19
2024-03-02,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.03,0.19
2024-03-01,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.03,0.19
2024-02-29,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.03,0.18
2024-02-28,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.03,0.18
2024-02-27,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.03,0.18
2024-02-26,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-02-25,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-02-24,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-02-23,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-02-22,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-02-21,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-02-20,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-02-19,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-02-18,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-02-17,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-02-16,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-02-15,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-02-14,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-02-13,0.0,0,1,1,0,0,0.0,0.14,0.0,19361910000.0,0.02,0.16
2024-02-12,0.0,0,1,1,0,0,0.0,0.14,0.0,19361910000.0,0.02,0.16
2024-02-11,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-02-10,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-02-09,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-02-08,0.0,1,0,1,0,0,0.0,0.13,0.0,19361910000.0,0.02,0.15
2024-02-07,0.0,1,0,1,0,0,0.0,0.13,0.0,19361910000.0,0.02,0.15
2024-02-06,0.0,1,0,1,0,0,0.0,0.13,0.0,19361910000.0,0.02,0.15
2024-02-05,0.0,1,0,1,0,0,0.0,0.13,0.0,19361910000.0,0.02,0.15
2024-02-04,0.0,1,0,1,0,0,0.0,0.13,0.0,19361910000.0,0.02,0.15
2024-02-03,0.0,1,0,1,0,0,0.0,0.13,0.0,19361910000.0,0.02,0.15
2024-02-02,0.0,1,0,1,0,0,0.0,0.13,0.0,19361910000.0,0.02,0.15
2024-02-01,0.0,1,0,1,0,0,0.0,0.13,0.0,19361910000.0,0.02,0.15
2024-01-31,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-01-30,0.0,0,1,1,0,0,0.0,0.15,0.0,19361910000.0,0.02,0.16999999999999998
2024-01-29,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-01-28,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-01-27,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-01-26,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-01-25,0.0,0,1,1,0,0,0.0,0.18,0.0,19361910000.0,0.02,0.19999999999999998
2024-01-24,0.0,0,1,1,0,0,0.0,0.18,0.0,19361910000.0,0.02,0.19999999999999998
2024-01-23,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-01-22,0.0,0,1,1,0,0,0.0,0.17,0.0,19361910000.0,0.02,0.19
2024-01-21,0.0,0,1,1,0,0,0.0,0.17,0.0,19361910000.0,0.02,0.19
2024-01-20,0.0,0,1,1,0,0,0.0,0.17,0.0,19361910000.0,0.02,0.19
2024-01-19,0.0,0,1,1,0,0,0.0,0.17,0.0,19361910000.0,0.02,0.19
2024-01-18,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-01-17,0.0,0,1,1,0,0,0.0,0.17,0.0,19361910000.0,0.02,0.19
2024-01-16,0.0,0,1,1,0,0,0.0,0.16,0.0,19361910000.0,0.02,0.18
2024-01-15,0.0,0,0,1,0,0,0.0,0.05,0.0,19361910000.0,0.02,0.07
2024-01-14,0.0,0,0,1,0,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-13,0.0,0,0,1,0,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-12,0.0,0,0,1,0,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-11,0.0,0,0,1,0,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-10,0.0,0,0,1,0,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-09,0.0,0,0,1,0,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-08,0.0,0,0,0,1,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-07,0.0,0,0,0,1,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-06,0.0,0,0,0,1,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-05,0.0,0,0,0,1,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-04,0.0,0,0,0,1,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-03,0.0,0,0,0,1,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-02,0.0,0,0,0,1,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2024-01-01,0.0,0,0,0,1,0,0.0,0.06,0.0,19361910000.0,0.02,0.08
2023-12-31,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-30,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-29,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-28,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-27,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-26,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-25,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-24,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-23,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-22,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-21,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-20,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-19,0.0,0,0,0,1,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-18,0.0,0,0,1,0,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-17,0.0,0,0,1,0,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-16,0.0,0,0,1,0,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-15,0.0,0,0,1,0,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-14,0.0,0,0,1,0,0,0.0,0.06,0.0,20251910000.0,0.02,0.08
2023-12-13,0.0,0,0,1,0,0,0.0,0.05,0.0,20251910000.0,0.02,0.07
2023-12-12,0.0,0,0,1,0,0,0.0,0.05,0.0,20251910000.0,0.02,0.07
2023-12-11,0.0,0,0,1,0,0,0.0,0.05,0.0,20251910000.0,0.02,0.07
2023-12-10,0.0,0,0,1,0,0,0.0,0.05,0.0,20251910000.0,0.02,0.07
2023-12-09,0.0,0,0,1,0,0,0.0,0.05,0.0,20251910000.0,0.02,0.07
2023-12-08,0.0,0,0,1,0,0,0.0,0.05,0.0,20251910000.0,0.02,0.07
2023-12-07,0.0,0,0,1,0,0,0.0,0.05,0.0,20251910000.0,0.02,0.07
2023-12-06,0.0,0,0,1,0,0,0.0,0.05,0.0,20251910000.0,0.02,0.07
2023-12-05,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-12-04,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-12-03,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-12-02,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-12-01,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-30,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-29,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-28,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-27,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-26,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-25,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-24,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-23,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-22,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-21,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-20,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-19,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-18,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-17,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-16,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-15,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-14,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-13,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-11-12,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-11,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-10,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-09,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-08,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-07,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-06,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-05,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-04,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-03,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-02,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-11-01,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-10-31,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-10-30,0.0,0,0,1,0,0,0.0,0.04,0.0,20251910000.0,0.02,0.06
2023-10-29,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-10-28,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-10-27,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-10-26,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
2023-10-25,0.0,0,0,1,0,0,0.0,0.03,0.0,20251910000.0,0.02,0.05
